query,recommended_text,score
Lightweight titanium glasses for outdoor sports,b' standardframetype Titanium FullRim Round Unisex Black Black Large  Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300821eyeglassesfrontviewjpg ft03ft04 gt32 titaniumroundeyeglassframes1300821',0.6598936915397644
Lightweight titanium glasses for outdoor sports,b' standardframetype Titanium FullRim Aviator Men_s Gray Steel Gray Med  Titanium Aviator Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300912eyeglassesfrontviewjpg ft03ft04 gt53gt35gt44 menstitaniumaviatoreyeglassframes1300912',0.6572678089141846
Lightweight titanium glasses for outdoor sports,b' standardframetype Titanium FullRim Aviator Men_s Gold Gold Med  Titanium Aviator Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300914eyeglassesfrontviewjpg ft03ft04 gt53gt35gt44 menstitaniumaviatoreyeglassframes1300914',0.6561513543128967
Lightweight titanium glasses for outdoor sports,b' standardframetype Titanium FullRim Oval Unisex Black Black Large  Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13011301221eyeglassesfrontviewjpg ft03ft04 gt34gt44gt32 titaniumovaleyeglassframes1301221',0.6554224491119385
Lightweight titanium glasses for outdoor sports,b' standardframetype Titanium FullRim Oval Men_s Black  Med  Titanium Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral5237523721eyeglassesfrontviewjpg ft03ft04 gt35gt33gt38gt32gt34gt44gt53 523721puretitaniumfullrimframe',0.6545268893241882
Affordable plastic kids glasses with cartoon patterns,b' standardframetype Plastic FullRim Square Unisex_Kids Multicolor Blue  Extra_Small Kids Flexible Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040636eyeglassesfrontviewjpg ft01ft03 gt34gt44gt04gt33gt41gt31gt36 kidstrsquareeyeglassframes2040636',0.742682695388794
Affordable plastic kids glasses with cartoon patterns,b' standardframetype Plastic FullRim Square Unisex_Kids Blue Navy  Extra_Small Kids Flexible Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20212021416eyeglassesfrontviewjpg ft03 gt04gt07gt34gt41gt05gt06gt53gt32gt37 kidstrsquareeyeglassframes2021416',0.7364261746406555
Affordable plastic kids glasses with cartoon patterns,b' standardframetype Plastic FullRim Oval Unisex_Kids Red Red  Extra_Small Kids Flexible Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040718eyeglassesfrontviewjpg ft01ft03 gt32gt44gt35gt41gt04 kidstrovaleyeglassframes2040718',0.7329298257827759
Affordable plastic kids glasses with cartoon patterns,b' standardframetype Plastic FullRim Square Unisex_Kids Blue Blue  Extra_Small Kids Flexible Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040616eyeglassesfrontviewjpg ft01ft03 gt34gt44gt04gt33gt41gt31gt36 kidstrsquareeyeglassframes2040616',0.7284210920333862
Affordable plastic kids glasses with cartoon patterns,b' standardframetype Plastic FullRim Oval Unisex_Kids Blue Blue  Extra_Small Kids Flexible Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040716eyeglassesfrontviewjpg ft01ft03 gt32gt44gt35gt41gt04 kidstrovaleyeglassframes2040716',0.7253797054290771
Stylish metal frame sunglasses for driving,b' SafetyGlasses Plastic FullRim Aviator Unisex Brown Brown Extra_Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7483748315eyeglassesfrontviewjpg  gt49gt35 otherplasticaviatoreyeglassframes748315',0.6295086145401001
Stylish metal frame sunglasses for driving,b' SafetyGlasses Stainless Steel FullRim Oval Unisex Gray Gunmetal Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7493749320eyeglassesfrontviewjpg ft04 gt35gt33gt31gt34 stainlesssteelovaleyeglassframes749320',0.6180532574653625
Stylish metal frame sunglasses for driving,b' SafetyGlasses Stainless Steel FullRim Oval Unisex Brown Copper Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7493749315eyeglassesfrontviewjpg ft04 gt35gt33gt31gt34 stainlesssteelovaleyeglassframes749315',0.617253303527832
Stylish metal frame sunglasses for driving,b' SafetyGlasses Stainless Steel FullRim Aviator Unisex Gold Gold Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7494749414eyeglassesfrontviewjpg ft04 gt35gt33gt34 z87safetyeyeglassframes749414',0.6149066686630249
Stylish metal frame sunglasses for driving,b' SafetyGlasses Plastic FullRim Rectangle Unisex Gray Gray Small  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7485748512eyeglassesfrontviewjpg  gt36gt33gt31 otherplasticrectangleeyeglassframes748512',0.6144946813583374
Blue light blocking glasses for office work,b' standardframetype Plastic FullRim Square Unisex Blue Blue Extra_Large  Square Prescription Protective Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7442744216eyeglassesfrontviewjpg ft01ft066000023 gt38gt43gt44gt48gt40 trsquareeyeglassframes744216',0.5516339540481567
Blue light blocking glasses for office work,b' standardframetype Plastic FullRim Square Unisex Blue Blue Med  SunlightActivated Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral81198119924eyeglassesfrontviewjpg ft01ft03ft06ft09 gt53gt30 trsquareeyeglassframes8119924',0.5488409996032715
Blue light blocking glasses for office work,b' standardframetype Plastic FullRim Round Unisex Gray Blue Glow Med  GlowintheDark Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral81108110512eyeglassesfrontviewjpg ft01 gt40gt32gt35gt28gt34gt33gt44gt43 trroundeyeglassframes8110512',0.5327081680297852
Blue light blocking glasses for office work,b' standardframetype Plastic FullRim Square Unisex Blue Midnight blue Med  Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral1260126016eyeglassesfrontviewjpg ft01ft06 gt31gt38gt53gt39gt44gt33 acetateplasticsquareeyeglassframes126016',0.5319267511367798
Blue light blocking glasses for office work,b' standardframetype Stainless Steel FullRim Browline Men_s Blue Blue Med  Browline Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral32343234716eyeglassesfrontviewjpg ft04 gt31gt15gt34gt36gt33 mensstainlesssteelbrowlineeyeglassframes3234716',0.5306104421615601
High-end progressive reading glasses with gold trim,b' standardframetype Metal FullRim Round Unisex Gold Gold  Large Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral4144414414eyeglassesfrontviewjpg ft03ft095900001 gt04gt05gt40gt43gt53gt09gt06gt20gt44gt33gt35gt10gt08gt34 metalroundeyeglassframes414414',0.613544762134552
High-end progressive reading glasses with gold trim,b' standardframetype Metal FullRim Round Unisex Gold Gold Med  Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral1590159014eyeglassesfrontviewjpg ft03ft04ft09 gt44gt32gt40gt43gt33gt35gt38gt34gt20 othermetalroundeyeglassframes159014',0.6002553105354309
High-end progressive reading glasses with gold trim,b' standardframetype Stainless Steel FullRim Square Unisex Gold Gold Large  Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral32163216414eyeglassesfrontviewjpg ft04 gt49gt40gt38gt14gt44gt43 stainlesssteelsquareeyeglassframes3216414',0.5981547832489014
High-end progressive reading glasses with gold trim,b' standardframetype Stainless Steel FullRim Oval Unisex Gold Gold Small  Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral32243224014eyeglassesfrontviewjpg ft03ft04ft09 gt35gt33gt20gt34gt32 stainlesssteelovaleyeglassframes3224014',0.5939894914627075
High-end progressive reading glasses with gold trim,b' standardframetype Metal FullRim Geometric Unisex Gold Gold Med  Geometric Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral1577157714eyeglassesfrontviewjpg ft03ft045900001 gt31gt40gt03gt20gt33gt43gt44 othermetalgeometriceyeglassframes157714',0.5931141376495361
Durable acetate frames for construction workers,b' standardframetype Acetate FullRim Round Unisex Wood Texture  Small  Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral44104410015eyeglassesfrontviewjpg ft01ft06ft09 gt34gt29gt40gt38gt33gt44gt32 mensfullrimacetateplasticroundeyeglassframes4410015',0.4624824821949005
Durable acetate frames for construction workers,b' standardframetype CarbonFiber FullRim Square Unisex Black Black Large  Redwoods nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300721eyeglassesfrontviewjpg ft03ft04 gt33gt53gt21gt35 titaniumsquareeyeglassframes1300721',0.46217671036720276
Durable acetate frames for construction workers,b' standardframetype Acetate FullRim Square Unisex Wood Texture  Large  Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral1853185332eyeglassesfrontviewjpg ft01ft06 gt40gt44gt29gt38gt53 unisexfullrimacetateplasticsquareeyeglassframes185332',0.46122461557388306
Durable acetate frames for construction workers,b' standardframetype Titanium FullRim Round Unisex Wood Texture Wood Grain Large  Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300832eyeglassesfrontviewjpg ft03ft04 gt32 titaniumroundeyeglassframes1300832',0.45940980315208435
Durable acetate frames for construction workers,b' standardframetype CarbonFiber FullRim Square Unisex Wood Texture Wood Grain Large  Redwoods nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300732eyeglassesfrontviewjpg ft03ft04 gt33gt53gt21gt35 titaniumsquareeyeglassframes1300732',0.45824500918388367
Lightweight glasses for children's soccer games,b' standardframetype Plastic FullRim Oval Unisex_Kids Gray Gray  Extra_Small Kids Flexible Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20382038412eyeglassesfrontviewjpg ft03 gt06gt34gt07gt41gt37gt04gt32gt05 kidstrovaleyeglassframes2038412',0.6569185853004456
Lightweight glasses for children's soccer games,b' standardframetype Plastic FullRim Oval Unisex_Kids Red Red  Extra_Small Kids Flexible Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040718eyeglassesfrontviewjpg ft01ft03 gt32gt44gt35gt41gt04 kidstrovaleyeglassframes2040718',0.6563414931297302
Lightweight glasses for children's soccer games,b' standardframetype Plastic FullRim Round Unisex_Kids Gray Gray  Small Kids Flexible Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20382038312eyeglassesfrontviewjpg ft03 gt32gt09gt10gt04gt37gt08gt41 kidstrroundeyeglassframes2038312',0.6495198011398315
Lightweight glasses for children's soccer games,b' standardframetype Plastic FullRim Square Unisex_Kids Gray Gray  Extra_Small Kids Flexible Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20212021412eyeglassesfrontviewjpg ft03 gt04gt07gt34gt41gt05gt06gt53gt32gt37 kidstrsquareeyeglassframes2021412',0.6473608016967773
Lightweight glasses for children's soccer games,b' standardframetype Plastic FullRim Square Unisex_Kids Multicolor Blue  Extra_Small Kids Flexible Square Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20402040636eyeglassesfrontviewjpg ft01ft03 gt34gt44gt04gt33gt41gt31gt36 kidstrsquareeyeglassframes2040636',0.6459962129592896
Titanium rimless glasses for business meetings,b' standardframetype Titanium Rimless Round Unisex Silver Silver Med  Rimless Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13021302911eyeglassesfrontviewjpg ft04 gt15gt16gt34gt33gt31gt36 rimlesstitaniumroundeyeglassframes1302911',0.6743613481521606
Titanium rimless glasses for business meetings,b' standardframetype Titanium Rimless Round Unisex Gold Gold Med  Rimless Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13021302914eyeglassesfrontviewjpg ft04 gt15gt16gt34gt33gt31gt36 rimlesstitaniumroundeyeglassframes1302914',0.6701193451881409
Titanium rimless glasses for business meetings,b' standardframetype Titanium FullRim Round Unisex Black Black Large  Round Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral13001300821eyeglassesfrontviewjpg ft03ft04 gt32 titaniumroundeyeglassframes1300821',0.6649969816207886
Titanium rimless glasses for business meetings,b' standardframetype Titanium FullRim Rectangle Men_s Silver  Large  Titanium Rectangle Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral5702570211eyeglassesfrontviewjpg ft02ft03ft04 gt53gt44 570211puretitaniumfullrimframewithspringhinges',0.6649814248085022
Titanium rimless glasses for business meetings,b' standardframetype Titanium FullRim Oval Men_s Black  Med  Titanium Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral5237523721eyeglassesfrontviewjpg ft03ft04 gt35gt33gt38gt32gt34gt44gt53 523721puretitaniumfullrimframe',0.6635237336158752
Fashionable oversized sunglasses for beach vacations,b' standardframetype Plastic FullRim Square Unisex Red Coral Extra_Large  Square Prescription Protective Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7442744218eyeglassesfrontviewjpg ft01ft066000023 gt38gt43gt44gt48gt40 trsquareeyeglassframes744218',0.5297801494598389
Fashionable oversized sunglasses for beach vacations,b' standardframetype Plastic FullRim Oval Women_s Tortoiseshell  Small  Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20162016725eyeglassesfrontviewjpg ft01ft06 gt34gt39gt38gt44gt42gt49gt32 womensplasticovaleyeglassframes2016725',0.5288381576538086
Fashionable oversized sunglasses for beach vacations,b' standardframetype Plastic FullRim Oval Women_s Tortoiseshell Tortoiseshell Med  Oval Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral20432043025eyeglassesfrontviewjpg ft01ft06 gt25gt32gt35gt15 womensplasticovaleyeglassframes2043025',0.5172945261001587
Fashionable oversized sunglasses for beach vacations,b' standardframetype Mixed FullRim CatEye Girl_s Multicolor Beach Glass  Extra_Small Kids cateye Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7813781329eyeglassesfrontviewjpg ft01ft02 gt07gt44gt40gt04gt06gt35gt41 girlscateyeeyeglassframes781329',0.5168378353118896
Fashionable oversized sunglasses for beach vacations,b' standardframetype Plastic FullRim Rectangle Women_s Tortoiseshell  Small  Rectangle Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral2012201225eyeglassesfrontviewjpg ft01ft06 gt49gt33gt31gt16 flexibleplasticfullrimeyeglassframe201225',0.5133302807807922
Adjustable nose pads glasses for sensitive skin,b' standardframetype Plastic FullRim Square Unisex Red Coral Extra_Large  Square Prescription Protective Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7442744218eyeglassesfrontviewjpg ft01ft066000023 gt38gt43gt44gt48gt40 trsquareeyeglassframes744218',0.6602615714073181
Adjustable nose pads glasses for sensitive skin,b' SafetyGlasses Plastic FullRim Rectangle Unisex Clear Smoke Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7491749123eyeglassesfrontviewjpg  gt31gt33 otherplasticrectangleeyeglassframes749123',0.6550787091255188
Adjustable nose pads glasses for sensitive skin,b' SafetyGlasses Plastic FullRim Rectangle Unisex Gray Gray Small  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7485748512eyeglassesfrontviewjpg  gt36gt33gt31 otherplasticrectangleeyeglassframes748512',0.6528740525245667
Adjustable nose pads glasses for sensitive skin,b' SafetyGlasses Plastic FullRim Rectangle Unisex Red Red Large  Z871 Safety Glasses nonretired configurable prescription frame httpsstaticzenniopticalcomproductionproductsgeneral7488748818eyeglassesfrontviewjpg  gt36gt33gt31 otherplasticrectangleeyeglassframes748818',0.6523555517196655
